date,GN-LRu,P343,P349,P618,P619,P501,P33,P37,P38,P9
17.02.2017 12:00:00,NaN,203.56,201.09,NaN,NaN,NaN,NaN,200.81,NaN,NaN
17.02.2017 15:00:00,NaN,203.55,201.09,NaN,NaN,NaN,NaN,200.8,NaN,NaN
17.02.2017 18:00:00,NaN,203.54,201.05,NaN,NaN,NaN,NaN,200.79,NaN,NaN
17.02.2017 21:00:00,NaN,203.55,201.07,NaN,NaN,NaN,NaN,200.78,NaN,NaN
18.02.2017 00:00:00,NaN,203.54,201.04,NaN,NaN,NaN,NaN,200.82,NaN,NaN
18.02.2017 03:00:00,NaN,203.54,201.01,NaN,NaN,NaN,NaN,200.88,NaN,NaN
18.02.2017 06:00:00,NaN,203.53,200.99,NaN,NaN,NaN,NaN,200.89,NaN,NaN
18.02.2017 09:00:00,NaN,203.53,200.97,NaN,NaN,NaN,NaN,200.85,NaN,NaN
18.02.2017 12:00:00,NaN,203.53,200.96,NaN,NaN,NaN,NaN,200.8,NaN,NaN
18.02.2017 15:00:00,NaN,203.53,200.95,NaN,NaN,NaN,NaN,200.77,NaN,NaN
18.02.2017 18:00:00,NaN,203.52,200.94,NaN,NaN,NaN,NaN,200.75,NaN,NaN
18.02.2017 21:00:00,NaN,203.54,201.04,NaN,NaN,NaN,NaN,200.73,NaN,NaN
19.02.2017 00:00:00,NaN,203.53,201.03,NaN,NaN,NaN,NaN,200.72,NaN,NaN
19.02.2017 03:00:00,NaN,203.53,201,NaN,NaN,NaN,NaN,200.76,NaN,NaN
19.02.2017 06:00:00,NaN,203.53,200.98,NaN,NaN,NaN,NaN,200.76,NaN,NaN
19.02.2017 09:00:00,NaN,203.52,200.96,NaN,NaN,NaN,NaN,200.72,NaN,NaN
19.02.2017 12:00:00,NaN,203.52,200.95,NaN,NaN,NaN,NaN,200.7,NaN,NaN
19.02.2017 15:00:00,NaN,203.52,200.94,NaN,NaN,NaN,NaN,200.7,NaN,NaN
19.02.2017 18:00:00,NaN,203.52,200.93,NaN,NaN,NaN,NaN,200.69,NaN,NaN
19.02.2017 21:00:00,NaN,203.54,201.01,NaN,NaN,NaN,NaN,200.68,NaN,NaN
20.02.2017 00:00:00,NaN,203.53,201.03,NaN,NaN,NaN,NaN,200.68,NaN,NaN
20.02.2017 03:00:00,NaN,203.52,201,NaN,NaN,NaN,NaN,200.67,NaN,NaN
20.02.2017 06:00:00,NaN,203.52,200.98,NaN,NaN,NaN,NaN,200.67,NaN,NaN
20.02.2017 09:00:00,NaN,203.55,201.06,NaN,NaN,NaN,NaN,200.67,NaN,NaN
20.02.2017 12:00:00,NaN,203.55,201.17,NaN,NaN,NaN,NaN,200.68,NaN,NaN
20.02.2017 15:00:00,NaN,203.55,201.13,NaN,NaN,NaN,NaN,200.67,NaN,NaN
20.02.2017 18:00:00,NaN,203.57,201.12,NaN,NaN,NaN,NaN,200.69,NaN,NaN
20.02.2017 21:00:00,NaN,203.58,201.21,NaN,NaN,NaN,NaN,200.76,NaN,NaN
21.02.2017 00:00:00,NaN,203.58,201.21,NaN,NaN,NaN,NaN,200.84,NaN,NaN
21.02.2017 03:00:00,NaN,203.57,201.15,NaN,NaN,NaN,NaN,200.86,NaN,NaN
21.02.2017 06:00:00,NaN,203.57,201.1,NaN,NaN,NaN,NaN,200.85,NaN,NaN
21.02.2017 09:00:00,NaN,203.56,201.06,NaN,NaN,NaN,NaN,200.81,NaN,NaN
21.02.2017 12:00:00,NaN,203.56,201.03,NaN,NaN,NaN,NaN,200.79,NaN,NaN
21.02.2017 15:00:00,NaN,203.56,201.01,NaN,NaN,NaN,NaN,200.76,NaN,NaN
21.02.2017 18:00:00,NaN,203.55,200.99,NaN,NaN,NaN,NaN,200.74,NaN,NaN
21.02.2017 21:00:00,NaN,203.55,200.97,NaN,NaN,NaN,NaN,200.74,NaN,NaN
22.02.2017 00:00:00,NaN,203.55,200.96,NaN,NaN,NaN,NaN,200.83,NaN,NaN
22.02.2017 03:00:00,NaN,203.55,200.95,NaN,NaN,NaN,NaN,200.86,NaN,NaN
22.02.2017 06:00:00,NaN,203.55,200.94,NaN,NaN,NaN,NaN,200.87,NaN,NaN
22.02.2017 09:00:00,NaN,203.54,200.93,NaN,NaN,NaN,NaN,200.83,NaN,NaN
22.02.2017 12:00:00,NaN,203.54,200.93,NaN,NaN,NaN,NaN,200.83,NaN,NaN
22.02.2017 15:00:00,NaN,203.54,200.92,NaN,NaN,NaN,NaN,200.86,NaN,NaN
22.02.2017 18:00:00,NaN,203.54,200.92,NaN,NaN,NaN,NaN,200.86,NaN,NaN
22.02.2017 21:00:00,NaN,203.56,200.98,NaN,NaN,NaN,NaN,200.82,NaN,NaN
23.02.2017 00:00:00,NaN,203.55,201.02,NaN,NaN,NaN,NaN,200.81,NaN,NaN
23.02.2017 03:00:00,NaN,203.55,200.99,NaN,NaN,NaN,NaN,200.83,NaN,NaN
23.02.2017 06:00:00,NaN,203.55,200.97,NaN,NaN,NaN,NaN,200.79,NaN,NaN
23.02.2017 09:00:00,NaN,203.56,200.96,NaN,NaN,NaN,NaN,200.78,NaN,NaN
23.02.2017 12:00:00,NaN,203.55,201,NaN,NaN,NaN,NaN,200.78,NaN,NaN
23.02.2017 15:00:00,NaN,203.54,200.98,NaN,NaN,NaN,NaN,200.76,NaN,NaN
23.02.2017 18:00:00,NaN,203.54,200.96,NaN,NaN,NaN,NaN,200.74,NaN,NaN
23.02.2017 21:00:00,NaN,203.56,201.04,NaN,NaN,NaN,NaN,200.73,NaN,NaN
24.02.2017 00:00:00,NaN,203.56,201.1,NaN,NaN,NaN,NaN,200.74,NaN,NaN
24.02.2017 03:00:00,NaN,203.56,201.06,NaN,NaN,NaN,NaN,200.78,NaN,NaN
24.02.2017 06:00:00,NaN,203.55,201.03,NaN,NaN,NaN,NaN,200.81,NaN,NaN
24.02.2017 09:00:00,NaN,203.57,201,NaN,NaN,NaN,NaN,200.78,NaN,NaN
24.02.2017 12:00:00,NaN,203.58,201.12,NaN,NaN,NaN,NaN,200.77,NaN,NaN
24.02.2017 15:00:00,NaN,203.6,201.22,NaN,NaN,NaN,NaN,200.76,NaN,NaN
24.02.2017 18:00:00,NaN,203.6,201.28,NaN,NaN,NaN,NaN,200.75,NaN,NaN
24.02.2017 21:00:00,NaN,203.6,201.28,NaN,NaN,NaN,NaN,200.73,NaN,NaN
25.02.2017 00:00:00,NaN,203.58,201.21,NaN,NaN,NaN,NaN,200.85,NaN,NaN
25.02.2017 03:00:00,NaN,203.58,201.18,NaN,NaN,NaN,NaN,200.89,NaN,NaN
25.02.2017 06:00:00,NaN,203.58,201.12,NaN,NaN,NaN,NaN,200.86,NaN,NaN
25.02.2017 09:00:00,NaN,203.57,201.08,NaN,NaN,NaN,NaN,200.82,NaN,NaN
25.02.2017 12:00:00,NaN,203.56,201.04,NaN,NaN,NaN,NaN,200.81,NaN,NaN
25.02.2017 15:00:00,NaN,203.56,201.02,NaN,NaN,NaN,NaN,200.77,NaN,NaN
25.02.2017 18:00:00,NaN,203.55,200.99,NaN,NaN,NaN,NaN,200.74,NaN,NaN
25.02.2017 21:00:00,NaN,203.55,200.98,NaN,NaN,NaN,NaN,200.74,NaN,NaN
26.02.2017 00:00:00,NaN,203.54,200.96,NaN,NaN,NaN,NaN,200.73,NaN,NaN
26.02.2017 03:00:00,NaN,203.54,200.95,NaN,NaN,NaN,NaN,200.73,NaN,NaN
26.02.2017 06:00:00,NaN,203.54,200.94,NaN,NaN,NaN,NaN,200.72,NaN,NaN
26.02.2017 09:00:00,NaN,203.53,200.93,NaN,NaN,NaN,NaN,200.71,NaN,NaN
26.02.2017 12:00:00,NaN,203.53,200.92,NaN,NaN,NaN,NaN,200.7,NaN,NaN
26.02.2017 15:00:00,NaN,203.53,200.92,NaN,NaN,NaN,NaN,200.69,NaN,NaN
26.02.2017 18:00:00,NaN,203.54,200.91,NaN,NaN,NaN,NaN,200.68,NaN,NaN
26.02.2017 21:00:00,NaN,203.55,201.05,NaN,NaN,NaN,NaN,200.7,NaN,NaN
27.02.2017 00:00:00,NaN,203.54,201.04,NaN,NaN,NaN,NaN,200.7,NaN,NaN
27.02.2017 03:00:00,NaN,203.54,201.01,NaN,NaN,NaN,NaN,200.7,NaN,NaN
27.02.2017 06:00:00,NaN,203.54,200.98,NaN,NaN,NaN,NaN,200.68,NaN,NaN
27.02.2017 09:00:00,NaN,203.54,200.96,NaN,NaN,NaN,NaN,200.69,NaN,NaN
27.02.2017 12:00:00,NaN,203.53,200.98,NaN,NaN,NaN,NaN,200.68,NaN,NaN
27.02.2017 15:00:00,NaN,203.53,200.96,NaN,NaN,NaN,NaN,200.67,NaN,NaN
27.02.2017 18:00:00,NaN,203.56,200.99,NaN,NaN,NaN,NaN,200.68,NaN,NaN
27.02.2017 21:00:00,NaN,203.55,201.09,NaN,NaN,NaN,NaN,200.7,NaN,NaN
28.02.2017 00:00:00,NaN,203.55,201.05,NaN,NaN,NaN,NaN,200.77,NaN,NaN
28.02.2017 03:00:00,NaN,203.54,201.02,NaN,NaN,NaN,NaN,200.8,NaN,NaN
28.02.2017 06:00:00,NaN,203.54,200.99,NaN,NaN,NaN,NaN,200.8,NaN,NaN
28.02.2017 09:00:00,NaN,203.54,200.97,NaN,NaN,NaN,NaN,200.76,NaN,NaN
28.02.2017 12:00:00,NaN,203.53,200.96,NaN,NaN,NaN,NaN,200.75,NaN,NaN
28.02.2017 15:00:00,NaN,203.53,200.94,NaN,NaN,NaN,NaN,200.74,NaN,NaN
28.02.2017 18:00:00,NaN,203.55,200.94,NaN,NaN,NaN,NaN,200.73,NaN,NaN
28.02.2017 21:00:00,NaN,203.58,201.04,NaN,NaN,NaN,NaN,200.79,NaN,NaN
01.03.2017 00:00:00,NaN,203.59,201.06,NaN,NaN,NaN,NaN,200.84,NaN,NaN
01.03.2017 03:00:00,NaN,203.59,201.05,NaN,NaN,NaN,NaN,200.88,NaN,NaN
01.03.2017 06:00:00,NaN,203.59,201.05,NaN,NaN,NaN,NaN,200.89,NaN,NaN
01.03.2017 09:00:00,NaN,203.59,201.04,NaN,NaN,NaN,NaN,200.88,NaN,NaN
01.03.2017 12:00:00,NaN,203.59,201.1,NaN,NaN,NaN,NaN,200.87,NaN,NaN
01.03.2017 15:00:00,NaN,203.59,201.09,NaN,NaN,NaN,NaN,200.84,NaN,NaN
01.03.2017 18:00:00,NaN,203.58,201.06,NaN,NaN,NaN,NaN,200.82,NaN,NaN
01.03.2017 21:00:00,NaN,203.58,201.07,NaN,NaN,NaN,NaN,200.83,NaN,NaN
02.03.2017 00:00:00,NaN,203.58,201.1,NaN,NaN,NaN,NaN,200.82,NaN,NaN
02.03.2017 03:00:00,NaN,203.57,201.07,NaN,NaN,NaN,NaN,200.89,NaN,NaN
02.03.2017 06:00:00,NaN,203.56,201.04,NaN,NaN,NaN,NaN,200.9,NaN,NaN
02.03.2017 09:00:00,NaN,203.56,201.02,NaN,NaN,NaN,NaN,200.86,NaN,NaN
02.03.2017 12:00:00,NaN,203.55,201.07,NaN,NaN,NaN,NaN,200.84,NaN,NaN
02.03.2017 15:00:00,NaN,203.54,201.05,NaN,NaN,NaN,NaN,200.81,NaN,NaN
02.03.2017 18:00:00,NaN,203.53,201.02,NaN,NaN,NaN,NaN,200.79,NaN,NaN
02.03.2017 21:00:00,NaN,203.53,201.04,NaN,NaN,NaN,NaN,200.78,NaN,NaN
03.03.2017 00:00:00,NaN,203.53,201.06,NaN,NaN,NaN,NaN,200.78,NaN,NaN
03.03.2017 03:00:00,NaN,203.52,201.04,NaN,NaN,NaN,NaN,200.86,NaN,NaN
03.03.2017 06:00:00,NaN,203.51,201.01,NaN,NaN,NaN,NaN,200.88,NaN,NaN
03.03.2017 09:00:00,NaN,203.53,201.03,NaN,NaN,NaN,NaN,200.85,NaN,NaN
03.03.2017 12:00:00,NaN,203.52,201.1,NaN,NaN,NaN,NaN,200.84,NaN,NaN
03.03.2017 15:00:00,NaN,203.51,201.07,NaN,NaN,NaN,NaN,200.81,NaN,NaN
03.03.2017 18:00:00,NaN,203.53,201.07,NaN,NaN,NaN,NaN,200.8,NaN,NaN
03.03.2017 21:00:00,NaN,203.52,201.12,NaN,NaN,NaN,NaN,200.83,NaN,NaN
04.03.2017 00:00:00,NaN,203.52,201.12,NaN,NaN,NaN,NaN,200.91,NaN,NaN
04.03.2017 03:00:00,NaN,203.51,201.08,NaN,NaN,NaN,NaN,200.91,NaN,NaN
04.03.2017 06:00:00,NaN,203.5,201.04,NaN,NaN,NaN,NaN,200.92,NaN,NaN
04.03.2017 09:00:00,NaN,203.5,201.02,NaN,NaN,NaN,NaN,200.88,NaN,NaN
04.03.2017 12:00:00,NaN,203.5,201.03,NaN,NaN,NaN,NaN,200.84,NaN,NaN
04.03.2017 15:00:00,NaN,203.5,201.09,NaN,NaN,NaN,NaN,200.83,NaN,NaN
04.03.2017 18:00:00,NaN,203.52,201.06,NaN,NaN,NaN,NaN,200.8,NaN,NaN
04.03.2017 21:00:00,NaN,203.55,201.08,NaN,NaN,NaN,NaN,200.79,NaN,NaN
05.03.2017 00:00:00,NaN,203.55,201.09,NaN,NaN,NaN,NaN,200.79,NaN,NaN
05.03.2017 03:00:00,NaN,203.55,201.07,NaN,NaN,NaN,NaN,200.84,NaN,NaN
05.03.2017 06:00:00,NaN,203.56,201.05,NaN,NaN,NaN,NaN,200.88,NaN,NaN
05.03.2017 09:00:00,NaN,203.57,201.04,NaN,NaN,NaN,NaN,200.86,NaN,NaN
05.03.2017 12:00:00,NaN,203.59,201.13,NaN,NaN,NaN,NaN,200.84,NaN,NaN
05.03.2017 15:00:00,NaN,203.58,201.17,NaN,NaN,NaN,NaN,200.83,NaN,NaN
05.03.2017 18:00:00,NaN,203.6,201.17,NaN,NaN,NaN,NaN,200.8,NaN,NaN
05.03.2017 21:00:00,NaN,203.61,201.25,NaN,NaN,NaN,NaN,200.79,NaN,NaN
06.03.2017 00:00:00,NaN,203.6,201.29,NaN,NaN,NaN,NaN,200.8,NaN,NaN
06.03.2017 03:00:00,NaN,203.59,201.22,NaN,NaN,NaN,NaN,200.85,NaN,NaN
06.03.2017 06:00:00,NaN,203.58,201.16,NaN,NaN,NaN,NaN,200.89,NaN,NaN
06.03.2017 09:00:00,NaN,203.57,201.12,NaN,NaN,NaN,NaN,200.87,NaN,NaN
06.03.2017 12:00:00,NaN,203.56,201.11,NaN,NaN,NaN,NaN,200.85,NaN,NaN
06.03.2017 15:00:00,NaN,203.55,201.08,NaN,NaN,NaN,NaN,200.83,NaN,NaN
06.03.2017 18:00:00,NaN,203.57,201.13,NaN,NaN,NaN,NaN,200.83,NaN,NaN
06.03.2017 21:00:00,NaN,203.56,201.18,NaN,NaN,NaN,NaN,200.88,NaN,NaN
07.03.2017 00:00:00,NaN,203.55,201.17,NaN,NaN,NaN,NaN,200.94,NaN,NaN
07.03.2017 03:00:00,NaN,203.54,201.12,NaN,NaN,NaN,NaN,200.96,NaN,NaN
07.03.2017 06:00:00,NaN,203.53,201.08,NaN,NaN,NaN,NaN,200.97,NaN,NaN
07.03.2017 09:00:00,NaN,203.52,201.05,NaN,NaN,NaN,NaN,200.91,NaN,NaN
07.03.2017 12:00:00,NaN,203.54,201.14,NaN,NaN,NaN,NaN,200.88,NaN,NaN
07.03.2017 15:00:00,NaN,203.53,201.21,NaN,NaN,NaN,NaN,200.86,NaN,NaN
07.03.2017 18:00:00,NaN,203.53,201.25,NaN,NaN,NaN,NaN,200.83,NaN,NaN
07.03.2017 21:00:00,NaN,203.52,201.24,NaN,NaN,NaN,NaN,200.84,NaN,NaN
